"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0402_1005Metric","17.5mm","15.2mm","17.5mm","15.2mm","17.5mm","14.72mm","T","90","0.1uf",
"C2","C_0402_1005Metric","17.4mm","4.8mm","17.4mm","4.8mm","17.4mm","4.32mm","T","90","0.1uf",
"C3","C_0402_1005Metric","16.1mm","4.8mm","16.1mm","4.8mm","16.1mm","4.32mm","T","90","0.1uf",
"C4","C_0402_1005Metric","16.0mm","14.8mm","16.0mm","14.8mm","15.52mm","14.8mm","T","0","2.2uf",
"C5","C_0402_1005Metric","14.8mm","18.65mm","14.8mm","18.65mm","15.28mm","18.65mm","T","180","2.2nf",
"C6","C_0402_1005Metric","16.02mm","16.0mm","16.02mm","16.0mm","15.54mm","16.0mm","T","0","2.2uf",
"C7","C_0402_1005Metric","12.7mm","18.65mm","12.7mm","18.65mm","13.18mm","18.65mm","T","180","2.2nf",
"C8","C_0402_1005Metric","12.0mm","15.05mm","12.0mm","15.05mm","12.0mm","14.57mm","T","90","0.1uf",
"C9","C_0402_1005Metric","10.95mm","15.07mm","10.95mm","15.07mm","10.95mm","14.59mm","T","90","10uf",
"R1","R_0402_1005Metric","14.3mm","17.0mm","14.3mm","17.0mm","14.3mm","16.49mm","T","90","470",
"R2","R_0402_1005Metric","14.3mm","4.8mm","14.3mm","4.8mm","14.3mm","4.29mm","T","90","470",
"R3","R_0402_1005Metric","13.2mm","17.0mm","13.2mm","17.0mm","13.2mm","16.49mm","T","90","470",
"R4","R_0402_1005Metric","13.2mm","4.8mm","13.2mm","4.8mm","13.2mm","4.29mm","T","90","470",
"R5","R_0402_1005Metric","12.1mm","4.8mm","12.1mm","4.8mm","12.1mm","4.29mm","T","90","470",
"R6","R_0805_2012Metric","9.1mm","8.0mm","9.1mm","8.0mm","9.1mm","7.0875mm","T","90","0",
"R7","R_0402_1005Metric","10.9mm","4.8mm","10.9mm","4.8mm","10.9mm","4.29mm","T","90","470",
"U1","TSSOP-20_4.4x6.5mm_P0.65mm","14.41mm","10.08mm","14.41mm","10.08mm","17.335mm","12.9425mm","T","270","pcm5102a",
"Through Hole Items ",
"J1","Jack_3.5mm_PJ320D_Horizontal","5.2mm","16.3mm","5.2mm","16.3mm","5.2mm","14.075mm","T","270","AudioJack4",
"J2","PinHeader_1x06_P2.54mm_Vertical","4.7mm","1.5mm","4.7mm","1.5mm","4.7mm","1.5mm","T","90","Conn_01x06_Female",
"J3","PinHeader_1x03_P2.54mm_Vertical","12.3mm","23.2mm","12.3mm","23.2mm","12.3mm","23.2mm","T","90","Conn_01x03_Female",
